season,Opponent,Result,UNC Score,Opponent Score,OT,Ref 1,Ref 2,Ref 3,UNC Tech ,UNC Tech Type,Opp Tech,Opp Tech Type,UNC Fouls,Opp Fouls,Sum Fouls
2011-12,South Carolina,W,87,62,,Tom O'Neill,Jon Stigliano,Mark Schnur,,,2,"Brian Richardson, Malik Cooke",15,25,40
2010-11,Florida State,W,72,70,,Bryan Kersey,Jamie Luckie,Brian Dorsey,,John Henson,,Deividas Dulkys,16,16,32
2010-11,Marquette,W,81,63,,Mark Whitehead,Joe DeRosa,Tony Padilla,,,,Jae Crowder,16,17,33
2010-11,LIU,W,102,87,,Doug Shows,Ed Hightower,Lamont Simpson,,,,Jamal Olasewere,19,28,47
2010-11,NC State,W,75,63,,Mike Kitts,Michael Stephens,Sean Corbin,,,,Team,12,17,29
2010-11,NC State,W,84,64,,Bryan Kersey,Les Jones,Tim Nestor,,,,Javier Gonzalez,18,21,39
2009-10,Valparaiso,W,88,77,,Karl Hess,Brent Hampton,Pat Adams,,Deon Thompson,,,15,23,38
2009-10,Boston College,L,67,71,,Jamie Luckie,Sean Hull,Pat Driscoll,,,,Josh Southern,14,19,33
2007-08,Virginia Tech,W,68,66,,Karl Hess,Bryan Kersey,Gary Maxwell,,Wayne Ellington,,,19,19,38
2007-08,Rutgers,W,93,71,,Ed Corbett,Jamie Luckie,J.D. Collins,,Team,,,20,18,38
2007-08,Davidson,W,72,68,,Mike Wood,Zelton Steed,Gary Maxwell,,Tyler Hansbrough,,,20,24,44
2007-08,Boston College,W,90,80,,Jamie Luckie,Gary Maxwell,Roger Ayers,,,,John Oates,20,21,41
2007-08,Nicholls State,W,88,78,,Les Jones,Jose Carrion,Brian Dorsey,,,2,"Justin Payne, Team",14,27,41
2007-08,Iona,W,107,72,,John Gaffney,Paul Faia,Earl Walton,,,,Team,22,33,55
2006-07,Duke,W,79,73,,Ted Valentine,Gary Maxwell,Reggie Greenwood,,Deon Thompson,,,17,18,35
2006-07,NC State,L,79,83,,Bryan Kersey,Ray Natili,Curtis Shaw,,Tyler Hansbrough,,,21,25,46
2006-07,Georgetown,L,84,96,OT,Curtis Shaw,Mike Scyphers,John Higgins,,,,Team,19,18,37
2006-07,USC,W,74,64,,Tom Lopes,Mike Sanzere,Mike Roberts,,,,Team,14,19,33
2006-07,Florida State,W,73,58,,Mike Wood,Les Jones,Roger Ayers,,,,Team,19,23,42
2006-07,Boston College,W,77,72,,Karl Hess,Earl Walton,Ray Natili,,,,Team,16,17,33
2006-07,Virginia Tech,L,80,81,OT,Jamie Luckie,J.B. Caldwell,Curtis Shaw,,,,Team,21,23,44
2005-06,Miami,W,80,70,,Jamie Luckie,Tony Greene,Tim Nestor,,Tyler Hansbrough,,,17,14,31
2005-06,USC,L,59,74,,Stanley Reynolds,Jim Giron,Martin Cota,,,,Nick Young,17,22,39
2005-06,Santa Clara,W,76,58,,Jamie Luckie,Ray Natili,Bryan Kersey,,,,Travis Niesen,16,23,39
2004-05,UNC Wilmington,W,96,75,,Duke Edsall,Mike Eades,Alan Spainhour,3,"Sean May, Melvin Scott, Marvin Williams",,Spencer Laue,20,31,51
2004-05,Tennessee,W,94,81,,Verne Harris,Mike Eades,Pat Evans,,Jawad Williams,,,19,27,46
2003-04,Florida State,W,78,71,,Mike Wood,Gary Maxwell,Steve Gordon,,Team,,,18,27,45
2003-04,Georgia Tech,L,77,88,,Karl Hess,Ray Natili,Mike Eades,,Team,,,20,19,39
2003-04,Maryland,L,84,90,,Duke Edsall,Mike Wood,Bryan Kersey,,Rashad McCants,,Ekene Ibekwe,24,18,42
