Season,Date,Opponent,Result,Type,Pace,UNC PPP,UNC eFG%,UNC TO%,UNC OR%,UNC FTRate,UNC 2PTM,UNC 2PTA,UNC 2PT%,UNC 3PTM,UNC 3PTA,UNC 3PT%,UNC 3PTRate,UNC FTM,UNC FTA,UNC FT%,OPP PPP,OPP eFG%,OPP TO%,OPP OR%,OPP FTRate,OPP 2PTM,OPP 2PTA,OPP 2PT%,OPP 3PTM,OPP 3PTA,OPP 3PT%,OPP 3PTRate,OPP FTM,OPP FTA,OPP FT%,UNC Fouls,OPP Fouls,TOTAL FOULS,Ref 1,Ref 2 ,Ref 3,POINT SPREAD
2005-06,29-Nov-05,Illinois,L,Non-Conference (Big Ten Challenge),66,0.98,47.1,24.4,43.9,45.1,21,38,55.3,2,13,15.4,25.5,16,23,69.6,1.04,53.7,27.5,41.7,31.5,17,33,51.5,8,21,38.1,38.9,10,17,58.8,16,20,36,Jim Burr,Ray Natili,Karl Hess,-1
2005-06,25-Nov-05,UC Santa Barbara,W,Non-Conference,72,1.15,54.9,23.6,57.1,49.2,26,49,53.1,5,12,41.7,19.7,16,30,53.3,0.92,50,26.4,33.3,24.1,14,34,41.2,10,24,41.7,41.4,8,14,57.1,12,26,38,Gary Maxwell,Mike Wood,Tim Nestor,-13.5
2005-06,22-Nov-05,Cleveland State,W,Non-Conference,85,1.32,58.6,20,62.8,65.7,32,52,61.5,6,18,33.3,25.7,30,46,65.2,0.65,35.2,27,26,12.7,19,58,32.8,4,13,30.8,18.3,5,9,55.6,14,34,48,Gary Maxwell,Doug Sirmons,Dwayne Gladden,-18.5
2005-06,19-Nov-05,Gardner Webb,W,Non-Conference,78,1.06,59.8,25.6,39,46.4,26,41,63.4,5,15,33.3,26.8,16,26,61.5,1.03,58.6,29.5,35.3,25.9,19,31,61.3,10,27,37,46.6,12,15,80,12,21,33,Les Jones,Tony Greene,Steve Gordon,
2004-05,4-Apr-05,Illinois,W,NCAA Tournament Championship,63,1.18,60.6,15.8,26.7,36.5,18,36,50,9,16,56.2,30.8,12,19,63.2,1.1,47.1,12.6,39.5,8.6,15,30,50,12,40,30,57.1,4,6,66.7,13,18,31,Ed Corbett,John Cahill,Verne Harris,-2
2004-05,2-Apr-05,Michigan State,W,NCAA Tournament Final 4,79,1.1,53.5,16.5,32.9,23.9,29,51,56.9,6,20,30,28.2,11,17,64.7,0.9,38.5,14,27.9,24.3,18,51,35.3,7,23,30.4,31.1,14,18,77.8,17,19,36,Robert Donato,Reggie Greenwood,Randy McCall,-4.5
2004-05,27-Mar-05,Wisconsin,W,NCAA Tournament Elite 8,69,1.28,57,13.1,38.7,28.1,29,48,60.4,5,16,31.2,25,15,18,83.3,1.19,58.2,16,32.3,21.3,19,37,51.4,11,24,45.8,39.3,11,13,84.6,15,17,32,John Cahill,Richard Cartmell,Bruce Hicks,-9.5
2004-05,25-Mar-05,Villanova,W,NCAA Tournament Sweet 16,64,1.04,50,24.9,38.7,50,12,29,41.4,8,19,42.1,39.6,19,24,79.2,1.03,44.3,14,31.8,31.1,15,33,45.5,8,28,28.6,45.9,12,19,63.2,24,21,45,Tom O'Neill,David Hall,Gerry Pollard,-11
2004-05,20-Mar-05,Iowa State,W,NCAA Tournament 2nd Round,82,1.13,53.9,15.9,34.1,56.9,23,40,57.5,8,25,32,38.5,22,37,59.5,0.8,38.2,20.8,34.9,22.4,23,63,36.5,4,13,30.8,17.1,7,17,41.2,18,23,41,Scott Thornley,Eddie Jackson,Ted Hillary,-15.5
2004-05,18-Mar-05,Oakland,W,NCAA Tournament 1st Round,66,1.46,74.1,21.3,57.4,32.8,25,39,64.1,12,19,63.2,32.8,10,19,52.6,1.03,48.3,15.2,30.9,31,19,43,44.2,6,15,40,25.9,12,18,66.7,13,16,29,Ted Hillary,Mike Nance,Jim Stupin,-28
2004-05,12-Mar-05,Georgia Tech,L,ACC Tournament Semifinal,70,1.07,42.6,21.4,41.3,45.9,14,37,37.8,8,24,33.3,39.3,23,28,82.1,1.11,42.3,15.7,48.8,44.6,17,46,37,7,19,36.8,29.2,23,29,79.3,21,24,45,Karl Hess,Bryan Kersey,Ray Natili,-8
2004-05,11-Mar-05,Clemson,W,ACC Tournament Quarterfinal,78,1.13,47.2,24.4,48,87,12,35,34.3,9,19,47.4,35.2,37,47,78.7,1.04,51.7,24.4,41.5,49.1,23,42,54.8,5,17,29.4,28.8,20,29,69,23,29,52,Les Jones,Jamie Luckie,Tim Nestor,-16.5
2004-05,6-Mar-05,Duke,W,League,68,1.1,41,16.1,50.6,38.8,26,56,46.4,1,11,9.1,16.4,20,26,76.9,1.07,56.2,17.5,26,33.9,15,27,55.6,11,29,37.9,51.8,10,19,52.6,17,20,37,Larry Rose,Reggie Cofer,Gary Maxwell,-7.5
2004-05,3-Mar-05,Florida State,W,League,75,1.22,62.7,17.4,30.2,39,28,43,65.1,6,16,37.5,27.1,17,23,73.9,1.02,56.7,24.1,25.4,16.7,19,38,50,10,22,45.5,36.7,8,10,80,13,19,32,Bryan Kersey,Les Jones,Mike Kitts,-22
2004-05,27-Feb-05,Maryland,W,League,74,1.15,57.3,22.9,41.4,33.9,22,40,55,9,22,40.9,35.5,14,21,66.7,1.12,50,14.8,33,18.3,19,54,35.2,11,17,64.7,23.9,12,13,92.3,15,17,32,Karl Hess,Mike Wood,Ray Natili,-6.5
2004-05,22-Feb-05,NC State,W,League,64,1.27,58.5,17.2,40.7,43.4,16,32,50,10,21,47.6,39.6,19,23,82.6,1.11,56.6,18.8,24.1,22.6,12,26,46.2,12,27,44.4,50.9,11,12,91.7,14,19,33,Les Jones,Ed Corbett,Ted Valentine,-7
2004-05,19-Feb-05,Clemson,W,League,84,1.04,51.5,22.5,36.9,44.6,32,56,57.1,1,9,11.1,13.8,21,29,72.4,0.66,35.7,32,34,31.8,18,48,37.5,3,15,20,23.8,11,20,55,19,11,30,Mike Wood,Gary Maxwell,Mike Eades,-22.5
2004-05,16-Feb-05,UVA,W,League,70,1.22,58.8,23,48.3,49.1,26,42,61.9,5,15,33.3,26.3,18,28,64.3,0.88,43.3,23,31.4,40.4,15,31,48.4,5,21,23.8,40.4,16,21,76.2,19,23,42,Larry Rose,William Bush,Tim Nestor,-23
2004-05,13-Feb-05,Connecticut,W,Non-Conference,77,1,45.3,14.3,31.2,20.3,23,51,45.1,7,23,30.4,31.1,10,15,66.7,0.91,47.6,28.6,43,30.6,22,48,45.8,5,14,35.7,22.6,11,19,57.9,17,15,32,Karl Hess,Bryan Kersey,Mike Kitts,-8
2004-05,9-Feb-05,Duke,L,League,73,0.96,46.5,31.5,48,40.4,22,43,51.2,3,14,21.4,24.6,17,23,73.9,0.97,44.6,20.6,26.1,39.3,10,31,32.3,10,25,40,44.6,21,22,95.5,20,19,39,Mike Wood,Les Jones,Bryan Kersey,-1.5
2004-05,6-Feb-05,Florida State,W,League,68,1.18,46.1,13.2,45.7,43.1,18,43,41.9,8,22,36.4,33.8,21,28,75,0.88,51,32.1,31.6,31.2,11,27,40.7,9,21,42.9,43.8,11,15,73.3,19,22,41,Duke Edsall,Steve Gordon,Tony Greene,-14
2004-05,3-Feb-05,NC State,W,League,69,1.37,66.4,13,36.5,50.9,26,41,63.4,7,14,50,25.5,22,28,78.6,1.02,43,18.8,42.7,37.5,20,42,47.6,5,22,22.7,34.4,16,24,66.7,21,20,41,Karl Hess,Reggie Cofer,Robert Donato,-16
2004-05,29-Jan-05,UVA,W,League,85,1.3,70.8,20.1,35.5,43.1,25,42,59.5,14,23,60.9,35.4,18,28,64.3,0.9,46.9,20.1,15,32.8,15,35,42.9,10,29,34.5,45.3,16,21,76.2,21,20,41,Duke Edsall,Ray Natili,Jamie Luckie,-14
2004-05,22-Jan-05,Miami,W,League,82,1.06,52.5,21.9,32.9,51.7,24,40,60,5,20,25,33.3,24,31,77.4,0.82,40.3,20.7,21,25.4,18,45,40,6,22,27.3,32.8,13,17,76.5,15,21,36,Duke Edsall,Steve Gordon,Roger Ayers,-21
2004-05,19-Jan-05,Clemson,W,League,76,1.01,56.4,30.1,38.2,41.8,22,40,55,6,15,40,27.3,15,23,65.2,0.76,37.5,24.9,30,35,15,41,36.6,5,19,26.3,31.7,13,21,61.9,19,20,39,Larry Rose,Bryan Kersey,Joe Lindsay,-12
2004-05,15-Jan-05,Wake Forest,L,League,79,1.04,45.5,19,36.6,38.8,20,42,47.6,7,25,28,37.3,21,26,80.8,1.21,50.8,17.8,36.1,51.6,18,41,43.9,9,21,42.9,33.9,32,32,100,28,23,51,Bernard Clinton,Karl Hess,Mike Wood,-2.5
2004-05,12-Jan-05,Georgia Tech,W,League,85,1.07,47.8,22.3,41.2,51.5,19,46,41.3,9,22,40.9,32.4,26,35,74.3,0.81,39.5,22.3,18.8,59.6,18,40,45,3,17,17.6,29.8,24,34,70.6,21,23,44,Larry Rose,Jamie Luckie,Robert Donato,-11
2004-05,8-Jan-05,Maryland,W,League,91,1.19,63.8,26.3,41.3,36.2,29,49,59.2,10,20,50,29,21,25,84,0.82,39.4,18.6,20.9,36.6,25,49,51,2,22,9.1,31,19,26,73.1,17,20,37,Larry Rose,Reggie Cofer,Ted Valentine,-11.5
2004-05,2-Jan-05,William & Mary,W,Non-Conference,73,1.44,65.6,16.4,51.8,49.2,25,35,71.4,10,26,38.5,42.6,25,30,83.3,0.9,46.6,26,30.9,20.3,20,37,54.1,5,22,22.7,37.3,11,12,91.7,12,24,36,Duke Edsall,Emanuel Upton,Frank Raposo,-40.5
2004-05,30-Dec-04,Cleveland State,W,Non-Conference,84,1.27,63.2,22.5,50,34.7,32,52,61.5,9,20,45,27.8,16,25,64,0.76,46.5,36.7,31.1,25.9,18,35,51.4,6,23,26.1,39.7,10,15,66.7,14,22,36,Ray Natili,Sean Hull,Raymond Styons,-32
